tuned_sp0,tuned_gs0,tuned_stride,tuned_sp1,tuned_ls0,runtime,Valid,Timestamp
65536.0,4.0,2048.0,32768.0,4.0,570.528288,True,1661611557390
8388608.0,1024.0,4194304.0,4.0,64.0,2147483647.0,False,1661611560799
1048576.0,512.0,131072.0,65536.0,512.0,105.189376,True,1661611562092
2097152.0,1024.0,2048.0,131072.0,64.0,15.24208,True,1661611564638
33554432.0,8.0,128.0,16777216.0,2.0,721.353792,True,1661611566434
524288.0,32.0,32768.0,4096.0,1.0,32.662688,True,1661611569888
4194304.0,1024.0,2048.0,524288.0,256.0,104.464608,True,1661611571033
4194304.0,8.0,2048.0,128.0,8.0,136.8064,True,1661611572240
2097152.0,1024.0,1024.0,131072.0,64.0,14.860288,True,1661611574777
2097152.0,1024.0,1024.0,65536.0,64.0,10.266688,True,1661611577081
2097152.0,1024.0,4096.0,131072.0,32.0,13.767104,True,1661611579559
524288.0,1024.0,2048.0,16384.0,32.0,10.055584,True,1661611581838
2097152.0,1024.0,2048.0,131072.0,32.0,10.092736,True,1661611584139
524288.0,1024.0,2048.0,16384.0,32.0,10.055616,True,1661611586406
2097152.0,1024.0,512.0,131072.0,32.0,10.094528,True,1661611588690
524288.0,1024.0,512.0,16384.0,64.0,10.100224,True,1661611590977
524288.0,1024.0,2048.0,16384.0,32.0,10.055936,True,1661611593253
524288.0,1024.0,1024.0,16384.0,32.0,10.057984,True,1661611595522
262144.0,512.0,2048.0,4096.0,32.0,10.299744,True,1661611597811
8192.0,1024.0,2048.0,2048.0,32.0,9.622368,True,1661611600080
8192.0,1024.0,16384.0,2048.0,64.0,13.747648,True,1661611602637
4096.0,1024.0,2048.0,1024.0,32.0,11.25392,True,1661611604981
32768.0,1024.0,2048.0,16384.0,32.0,16.715776,True,1661611607619
8192.0,1024.0,2048.0,2048.0,32.0,9.625984,True,1661611609872
65536.0,512.0,2048.0,2048.0,32.0,5.658048,True,1661611611947
4096.0,1024.0,8192.0,2048.0,128.0,48.450816,True,1661611616274
4096.0,1024.0,2048.0,2048.0,32.0,20.953792,True,1661611619131
256.0,1024.0,64.0,32.0,32.0,2147483647.0,False,1661611622854
65536.0,1024.0,512.0,4096.0,64.0,9.490944,True,1661611625170
65536.0,1024.0,2048.0,2048.0,64.0,5.679104,True,1661611627235
131072.0,512.0,2048.0,2048.0,32.0,6.29712,True,1661611629356
131072.0,512.0,256.0,2048.0,32.0,5.114464,True,1661611631353
65536.0,512.0,256.0,512.0,64.0,5.203968,True,1661611633404
65536.0,512.0,256.0,2048.0,32.0,5.92992,True,1661611635518
32768.0,256.0,32.0,512.0,32.0,11.68528,True,1661611637911
524288.0,256.0,64.0,32768.0,32.0,23.39328,True,1661611640900
32768.0,512.0,256.0,256.0,32.0,1.085248,True,1661611642755
65536.0,512.0,256.0,1024.0,64.0,4.788224,True,1661611644769
524288.0,512.0,256.0,2048.0,32.0,1.580864,True,1661611646622
262144.0,512.0,256.0,2048.0,32.0,5.314336,True,1661611648665
8192.0,512.0,512.0,2.0,32.0,2147483647.0,False,1661611652380
8192.0,512.0,64.0,256.0,32.0,1.363968,True,1661611654259
32768.0,1024.0,1024.0,256.0,32.0,1.042528,True,1661611656111
32768.0,1024.0,128.0,256.0,32.0,1.009856,True,1661611657947
32768.0,1024.0,1024.0,256.0,128.0,4.820768,True,1661611660058
262144.0,1024.0,128.0,32768.0,32.0,13.119808,True,1661611662496
16384.0,1024.0,128.0,64.0,32.0,2147483647.0,False,1661611666018
65536.0,1024.0,128.0,1024.0,32.0,2.731808,True,1661611667950
32768.0,512.0,128.0,256.0,32.0,1.607168,True,1661611669833
32768.0,1024.0,256.0,256.0,64.0,1.010208,True,1661611671689
32768.0,512.0,128.0,256.0,32.0,1.740704,True,1661611673511
32768.0,1024.0,256.0,32.0,64.0,2147483647.0,False,1661611677050
32768.0,1024.0,128.0,256.0,16.0,1.161216,True,1661611678896
131072.0,1024.0,128.0,256.0,32.0,1.82272,True,1661611680855
262144.0,1024.0,32.0,128.0,16.0,10.184512,True,1661611683162
32768.0,1024.0,32.0,8.0,16.0,2147483647.0,False,1661611686821
1024.0,1024.0,128.0,256.0,32.0,3.906368,True,1661611688858
4194304.0,1024.0,128.0,1048576.0,32.0,47.0016,True,1661611693098
262144.0,1024.0,128.0,256.0,32.0,3.289088,True,1661611695131
65536.0,1024.0,262144.0,512.0,32.0,2.47152,True,1661611697008
32768.0,1024.0,64.0,256.0,32.0,1.857536,True,1661611698976
65536.0,1024.0,16.0,256.0,16.0,10.120864,True,1661611701371
131072.0,512.0,64.0,256.0,32.0,2.760832,True,1661611703377
8192.0,512.0,128.0,64.0,16.0,2147483647.0,False,1661611707018
32768.0,1024.0,128.0,256.0,64.0,1.056768,True,1661611708865
4096.0,1024.0,128.0,256.0,32.0,1.236992,True,1661611710734
32768.0,1024.0,128.0,256.0,32.0,1.01056,True,1661611712540
32768.0,512.0,128.0,256.0,16.0,1.923712,True,1661611714417
32768.0,1024.0,128.0,256.0,64.0,0.965984,True,1661611716222
32768.0,1024.0,32.0,256.0,32.0,1.801792,True,1661611718188
2048.0,1024.0,2.0,2.0,64.0,2147483647.0,False,1661611721887
16384.0,1024.0,32.0,256.0,32.0,1.844928,True,1661611723735
2048.0,1024.0,128.0,32.0,64.0,2147483647.0,False,1661611727199
131072.0,512.0,128.0,256.0,128.0,3.70272,True,1661611729260
32768.0,1024.0,128.0,256.0,64.0,0.868864,True,1661611731034
262144.0,1024.0,128.0,256.0,64.0,1.906688,True,1661611733000
32768.0,1024.0,512.0,128.0,64.0,0.834112,True,1661611734801
131072.0,1024.0,8.0,1024.0,64.0,4.516032,True,1661611736796
32768.0,1024.0,128.0,256.0,64.0,0.870592,True,1661611738592
131072.0,1024.0,128.0,256.0,64.0,2.19344,True,1661611740559
32768.0,512.0,512.0,128.0,64.0,1.566688,True,1661611742389
65536.0,1024.0,512.0,128.0,64.0,0.792576,True,1661611744157
32768.0,512.0,512.0,128.0,64.0,1.957888,True,1661611745970
16384.0,512.0,256.0,32.0,16.0,2147483647.0,False,1661611749501
524288.0,1024.0,512.0,8192.0,128.0,8.067072,True,1661611751734
65536.0,1024.0,256.0,64.0,128.0,2147483647.0,False,1661611755487
65536.0,1024.0,512.0,128.0,64.0,0.953984,True,1661611757245
262144.0,1024.0,64.0,128.0,64.0,6.861728,True,1661611759379
65536.0,1024.0,512.0,64.0,64.0,2147483647.0,False,1661611763119
65536.0,512.0,512.0,64.0,64.0,2147483647.0,False,1661611766517
16384.0,512.0,128.0,64.0,32.0,2147483647.0,False,1661611770002
65536.0,1024.0,512.0,128.0,64.0,0.956032,True,1661611771754
262144.0,1024.0,256.0,256.0,512.0,3.602176,True,1661611773824
65536.0,1024.0,512.0,128.0,64.0,0.791424,True,1661611775557
65536.0,512.0,512.0,128.0,64.0,1.6168,True,1661611777397
65536.0,1024.0,512.0,128.0,256.0,1.253216,True,1661611779196
65536.0,1024.0,512.0,128.0,64.0,0.960512,True,1661611780958
65536.0,1024.0,512.0,512.0,64.0,2.721696,True,1661611782879
8192.0,512.0,512.0,128.0,64.0,2.102816,True,1661611784731
1048576.0,1024.0,512.0,4096.0,64.0,3.201952,True,1661611786661
65536.0,1024.0,32.0,128.0,64.0,2.107936,True,1661611788564
4096.0,1024.0,32768.0,2.0,64.0,2147483647.0,False,1661611792216
65536.0,1024.0,512.0,128.0,64.0,0.954368,True,1661611793968
65536.0,512.0,512.0,128.0,128.0,2.117632,True,1661611795824
65536.0,1024.0,512.0,128.0,64.0,0.792736,True,1661611797575
65536.0,1024.0,512.0,256.0,64.0,1.108256,True,1661611799433
65536.0,512.0,2048.0,128.0,32.0,1.519616,True,1661611801241
16384.0,1024.0,512.0,256.0,64.0,2.807872,True,1661611803221
65536.0,4.0,8192.0,65536.0,4.0,953.720352,True,1661611805222
262144.0,1024.0,32768.0,2.0,2.0,2147483647.0,False,1661611808836
33554432.0,64.0,131072.0,8192.0,16.0,94.740928,True,1661611809971
4194304.0,512.0,1024.0,64.0,128.0,2147483647.0,False,1661611813615
16384.0,1024.0,512.0,32.0,64.0,2147483647.0,False,1661611817033
65536.0,1024.0,512.0,256.0,64.0,1.108672,True,1661611818836
65536.0,512.0,512.0,128.0,64.0,1.725568,True,1661611820648
65536.0,1024.0,512.0,128.0,128.0,1.053856,True,1661611822439
16384.0,1024.0,512.0,128.0,256.0,3.452928,True,1661611824426
32768.0,1024.0,64.0,64.0,128.0,2147483647.0,False,1661611827856
65536.0,1024.0,512.0,128.0,64.0,0.953824,True,1661611829615
32768.0,1024.0,512.0,128.0,64.0,1.032096,True,1661611831372
65536.0,1024.0,512.0,128.0,64.0,0.953152,True,1661611833134
32768.0,512.0,16.0,256.0,64.0,3.80928,True,1661611835172
4096.0,1024.0,512.0,64.0,64.0,2147483647.0,False,1661611838852
65536.0,1024.0,8192.0,128.0,64.0,1.802272,True,1661611840706
65536.0,1024.0,512.0,256.0,64.0,1.069568,True,1661611842514
512.0,1024.0,4096.0,8.0,64.0,2147483647.0,False,1661611846275
65536.0,1024.0,512.0,128.0,128.0,1.292288,True,1661611848042
65536.0,256.0,2048.0,128.0,64.0,3.000192,True,1661611849966
16384.0,1024.0,512.0,16.0,64.0,2147483647.0,False,1661611853684
8192.0,512.0,4096.0,4.0,64.0,2147483647.0,False,1661611857147
65536.0,1024.0,512.0,128.0,64.0,0.954688,True,1661611858890
4096.0,1024.0,512.0,8.0,128.0,2147483647.0,False,1661611862590
16777216.0,64.0,128.0,16777216.0,2.0,767.182496,True,1661611864402
131072.0,512.0,1048576.0,2048.0,128.0,11.070976,True,1661611866774
128.0,512.0,512.0,16.0,128.0,2147483647.0,False,1661611870532
33554432.0,1024.0,4194304.0,262144.0,128.0,21.3936,True,1661611873472
65536.0,1024.0,4096.0,256.0,128.0,4.649952,True,1661611875508
131072.0,1024.0,32.0,512.0,64.0,3.180832,True,1661611877447
65536.0,512.0,512.0,128.0,64.0,1.508032,True,1661611879225
16384.0,512.0,256.0,128.0,32.0,1.399648,True,1661611881052
16384.0,1024.0,512.0,256.0,64.0,2.67072,True,1661611882987
65536.0,512.0,512.0,128.0,64.0,1.507168,True,1661611884770
65536.0,1024.0,8192.0,128.0,64.0,1.409664,True,1661611886542
8192.0,1024.0,512.0,16.0,64.0,2147483647.0,False,1661611890226
65536.0,1024.0,4096.0,128.0,64.0,1.299968,True,1661611892048
65536.0,128.0,512.0,128.0,64.0,5.920672,True,1661611894141
65536.0,1024.0,512.0,128.0,64.0,0.793472,True,1661611895885
2048.0,256.0,512.0,128.0,64.0,15.544864,True,1661611898480
65536.0,1024.0,4096.0,128.0,64.0,1.03424,True,1661611900246
32768.0,1024.0,512.0,64.0,256.0,2147483647.0,False,1661611903696
32768.0,1024.0,512.0,64.0,64.0,2147483647.0,False,1661611907380
16384.0,512.0,512.0,64.0,32.0,2147483647.0,False,1661611910834
65536.0,512.0,512.0,256.0,32.0,1.327744,True,1661611912722
4096.0,1024.0,1024.0,1.0,64.0,2147483647.0,False,1661611916177
65536.0,1024.0,16384.0,128.0,64.0,3.17248,True,1661611918041
65536.0,512.0,256.0,128.0,32.0,2.706624,True,1661611919936
131072.0,1024.0,16384.0,32768.0,1.0,4.427776,True,1661611921998
67108864.0,128.0,8192.0,8388608.0,1.0,1833.021664,True,1661611924866
67108864.0,128.0,256.0,67108864.0,16.0,2940.49152,True,1661611928840
4194304.0,2.0,512.0,262144.0,1.0,903.968608,True,1661611930775
