index,runtime,Valid,Timestamp
0,10.341,True,1668618291466
1,6.915,True,1668618294350
2,6.95,True,1668618296473
3,6.883,True,1668618296859
4,6.854,True,1668618297265
5,6.842,True,1668618298554
6,6.851,True,1668618299913
7,6.87,True,1668618300907
8,6.828,True,1668618302133
9,6.824,True,1668618303399
10,6.822,True,1668618304722
11,6.893,True,1668618307020
12,6.908,True,1668618309472
13,6.889,True,1668618312198
14,6.873,True,1668618315175
15,6.884,True,1668618317946
16,6.779,True,1668618320492
17,6.884,True,1668618322875
18,6.89,True,1668618325033
19,6.815,True,1668618327263
20,6.848,True,1668618329745
21,6.815,True,1668618332257
22,6.841,True,1668618334804
23,6.793,True,1668618337248
24,6.826,True,1668618339730
25,9.837,True,1668618341522
26,6.842,True,1668618344901
27,6.857,True,1668618345268
28,6.835,True,1668618345619
29,6.839,True,1668618345993
30,6.824,True,1668618346354
31,6.803,True,1668618347601
32,6.872,True,1668618348851
33,6.797,True,1668618350167
34,6.83,True,1668618351499
35,6.921,True,1668618353851
36,6.835,True,1668618356061
37,6.791,True,1668618358284
38,6.806,True,1668618360677
39,6.817,True,1668618363081
40,6.777,True,1668618365503
41,6.84,True,1668618367904
42,6.812,True,1668618370224
43,6.829,True,1668618372690
44,6.817,True,1668618375191
45,6.794,True,1668618377982
46,6.884,True,1668618380476
47,6.873,True,1668618383034
48,6.756,True,1668618385399
49,6.799,True,1668618388404
50,6.761,True,1668618390654
51,6.836,True,1668618393050
52,6.888,True,1668618393419
53,6.894,True,1668618393799
54,6.845,True,1668618394167
55,6.818,True,1668618394542
56,6.774,True,1668618395670
57,6.794,True,1668618396781
58,6.772,True,1668618397875
59,6.841,True,1668618398985
60,6.782,True,1668618401564
61,6.76,True,1668618404195
62,6.805,True,1668618407342
63,6.794,True,1668618409555
64,6.787,True,1668618412053
65,6.776,True,1668618414741
66,6.787,True,1668618417215
67,6.773,True,1668618419456
68,6.769,True,1668618422354
69,6.77,True,1668618424713
70,6.769,True,1668618427162
71,6.766,True,1668618429689
72,6.835,True,1668618432500
73,6.763,True,1668618435044
74,6.796,True,1668618437561
75,6.811,True,1668618439859
76,6.82,True,1668618441843
77,6.965,True,1668618442400
78,6.901,True,1668618442771
79,6.952,True,1668618443137
80,6.866,True,1668618443513
81,6.975,True,1668618444854
82,6.818,True,1668618446135
83,6.846,True,1668618447614
84,6.84,True,1668618449063
85,6.827,True,1668618451264
86,6.886,True,1668618453393
87,6.84,True,1668618455695
88,6.837,True,1668618458112
89,6.865,True,1668618460302
90,7.047,True,1668618463420
91,6.903,True,1668618465942
92,6.879,True,1668618468575
93,6.943,True,1668618471038
94,6.907,True,1668618473304
95,6.898,True,1668618475646
96,6.878,True,1668618478591
97,6.971,True,1668618481610
98,7.027,True,1668618484928
99,7.291,True,1668618491040
100,6.877,True,1668618496212
101,7.069,True,1668618498413
102,6.893,True,1668618498794
103,6.861,True,1668618499203
104,6.921,True,1668618499580
105,7.043,True,1668618499970
106,6.977,True,1668618501721
107,6.898,True,1668618503525
108,6.989,True,1668618505222
109,7.198,True,1668618506669
110,7.258,True,1668618510218
111,7.037,True,1668618513371
112,6.891,True,1668618517735
113,6.879,True,1668618520908
114,7.123,True,1668618525033
115,6.923,True,1668618530143
116,6.924,True,1668618534750
117,6.957,True,1668618537286
118,6.841,True,1668618539874
119,6.837,True,1668618542858
120,6.906,True,1668618545578
121,6.878,True,1668618548119
122,6.907,True,1668618550995
123,6.925,True,1668618554648
124,7.186,True,1668618558087
125,6.921,True,1668618561913
126,6.828,True,1668618564515
127,7.0,True,1668618564894
128,6.861,True,1668618565283
129,6.945,True,1668618565643
130,6.803,True,1668618566012
131,6.928,True,1668618567385
132,6.873,True,1668618568722
133,7.002,True,1668618569991
134,6.874,True,1668618571242
135,7.013,True,1668618573920
136,6.837,True,1668618576397
137,6.945,True,1668618580152
138,7.022,True,1668618582189
139,6.888,True,1668618584542
140,6.983,True,1668618587472
141,7.0,True,1668618589741
142,6.94,True,1668618591911
143,6.939,True,1668618594723
144,6.962,True,1668618597149
145,7.011,True,1668618599513
146,6.999,True,1668618602212
147,6.943,True,1668618604883
148,6.96,True,1668618607611
149,6.92,True,1668618610029
150,6.921,True,1668618611932
151,6.927,True,1668618615199
152,6.977,True,1668618615591
153,6.961,True,1668618615956
154,6.976,True,1668618616320
155,6.998,True,1668618616755
156,7.007,True,1668618618059
157,6.957,True,1668618619417
158,7.087,True,1668618620837
159,6.959,True,1668618622151
160,6.991,True,1668618625163
161,7.012,True,1668618627774
162,6.938,True,1668618629746
163,6.997,True,1668618631843
164,6.923,True,1668618634251
165,7.051,True,1668618636314
166,6.943,True,1668618638313
167,6.91,True,1668618640383
168,6.975,True,1668618642476
169,6.99,True,1668618644550
170,6.982,True,1668618647049
171,6.91,True,1668618649530
172,6.913,True,1668618651891
173,6.914,True,1668618654040
174,6.905,True,1668618656498
175,6.965,True,1668618658352
176,10.002,True,1668618660814
177,10.326,True,1668618661240
178,10.228,True,1668618661625
179,10.342,True,1668618663007
180,10.139,True,1668618664243
181,10.03,True,1668618665436
182,10.019,True,1668618666594
183,10.043,True,1668618667642
184,9.998,True,1668618668686
185,10.041,True,1668618670394
186,9.936,True,1668618671846
187,9.936,True,1668618673485
188,10.196,True,1668618675760
189,10.048,True,1668618677358
190,10.232,True,1668618679570
191,10.067,True,1668618681502
192,10.003,True,1668618683361
193,10.164,True,1668618685004
194,10.004,True,1668618686918
195,10.158,True,1668618688712
196,10.338,True,1668618690582
197,10.177,True,1668618695704
198,10.173,True,1668618698678
199,6.969,True,1668618701059
200,6.842,True,1668618769956
201,6.883,True,1668618770392
202,6.796,True,1668618770939
203,6.838,True,1668618771490
204,6.972,True,1668618772016
205,6.83,True,1668618772494
206,6.861,True,1668618773036
207,6.851,True,1668618774069
208,6.817,True,1668618775155
209,6.831,True,1668618777186
210,6.858,True,1668618779342
211,6.788,True,1668618781791
212,6.778,True,1668618784077
213,6.812,True,1668618786100
